case,repeats,allocated_peak_mib,active_peak_mib,reserved_peak_mib,pending_mib,pending_blocks,inactive_mib,device_alloc_delta,unique_input_addresses,completed_before_final_sync,enqueue_median_ms,wall_median_ms,wall_cv_percent,outputs_correct
same-stream/no-sync,5,660.0009765625,660.0009765625,662,0,0,513.99951171875,1,1,5,5.989345954731107,52.57505504414439,0.06548459653006504,true
cross-stream/record-stream/no-sync,5,660.0009765625,22676.0009765625,22678,22528,44,1.99951171875,44,44,8,15.752162085846066,52.3118048440665,0.055218033528498446,true
cross-stream/record-stream/sync,5,660.0009765625,660.0009765625,662,512,1,1.99951171875,1,1,52,54.18465007096529,54.51688007451594,0.06311076213580197,true
cross-stream/hand-back/no-sync,5,660.0009765625,660.0009765625,662,0,0,513.99951171875,1,1,5,6.031675962731242,52.703361958265305,0.11345623662460305,true
cross-stream/ring1/no-sync,5,660.0009765625,660.0009765625,662,0,0,1.99951171875,0,1,4,4.737564828246832,51.926830084994435,0.07163180935043893,true
